ProteinID,GeneID,Query.Length,Description,SequenceID,Length,GeneSymbol,GeneSymbol2
FUN_018585-T1,FUN_018585,7 Length: 537,CCR4-NOT transcription complex subunit 6-like [Montipora foliosa],XP_068706082.1,578,CNOT6L,CNOT6L
FUN_018586-T1,FUN_018586,8 Length: 202,"hypothetical protein P5673_001978, partial [Acropora cervicornis]",KAK2572960.1,192,NA,NA
FUN_018591-T1,FUN_018591,9 Length: 100,uncharacterized protein LOC141873978 isoform X1 [Acropora palmata],XP_074614219.1,118,ATP6V1A2,ATP6V1A2
FUN_018597-T1,FUN_018597,0 Length: 516,Annexin A7 [Acropora cervicornis],KAK2572762.1,518,ANXA7,ANXA7
FUN_018598-T1,FUN_018598,1 Length: 917,Transportin-3 [Acropora cervicornis],KAK2572763.1,1557,TNPO1P3,TNPO1P3
FUN_018603-T1,FUN_018603,2 Length: 339,Phospholipid scramblase 2 [Acropora cervicornis],KAK2554300.1,344,PLSCR2,PLSCR2
FUN_018605-T1,FUN_018605,Length:589,Prothrombin [Acropora cervicornis],KAK2554304.1,1363,NA,NA
FUN_018606-T1,FUN_018606,Length:890,Prothrombin [Acropora cervicornis],KAK2554304.1,1363,NA,NA
FUN_018607-T1,FUN_018607,Length:617,PREDICTED: uncharacterized protein LOC107333324 isoform X1 [Acropora digitifera],XP_015753615.1,540,ATP6V1A2,ATP6V1A2
FUN_018609-T1,FUN_018609,Length:827,Mitogen-activated protein kinase kinase kinase kinase 5 [Acropora cervicornis],KAK2554242.1,807,MAP4K5,MAP4K5
FUN_018613-T1,FUN_018613,Length:491,voltage-dependent L-type calcium channel subunit beta-2-like isoform X7 [Acropora millepora],XP_029206507.1,441,KCNMB1,KCNMB1
FUN_018614-T1,FUN_018614,Length:371,apolipoprotein L3-like [Acropora millepora],XP_029206508.2,371,RPL3L,RPL3L
FUN_018615-T1,FUN_018615,Length:330,unnamed protein product [Porites evermanni],CAH3172206.1,334,UBA52,UBA52
FUN_018621-T1,FUN_018621,Length:607,"Mitogen-activated protein kinase kinase kinase 3, partial [Acropora cervicornis]",KAK2554257.1,218,MAP4K3,MAP4K3
FUN_018623-T1,FUN_018623,Length:984,anion exchange protein 2-like [Acropora millepora],XP_029206541.1,1018,IPCEF1,IPCEF1
FUN_018625-T1,FUN_018625,Length:213,Golgi SNAP receptor complex member 2 [Acropora cervicornis],KAK2554261.1,107,GOSR2,GOSR2
FUN_018626-T1,FUN_018626,Length:358,dnaJ homolog subfamily C member 22-like [Acropora palmata],XP_074628077.1,358,RHOC,RHOC
FUN_018631-T1,FUN_018631,Length:965,Heat shock cognate 71 kDa protein [Acropora cervicornis],KAK2554209.1,603,RPL7AP71,RPL7AP71
FUN_018635-T1,FUN_018635,Length:327,thioredoxin-related transmembrane protein 2 homolog [Acropora palmata],XP_074627618.1,269,TPTE2,TPTE2
FUN_018637-T1,FUN_018637,Length:498,hypothetical protein P5673_024220 [Acropora cervicornis],KAK2554223.1,564,NA,NA
FUN_018640-T1,FUN_018640,3 Length: 376,uncharacterized protein [Acropora muricata],XP_067018519.1,384,GPRASP1,GPRASP1
FUN_018641-T1,FUN_018641,4 Length: 384,uncharacterized protein [Acropora muricata],XP_067018519.1,384,GPRASP1,GPRASP1
FUN_018644-T1,FUN_018644,5 Length: 2532,Neurogenic locus notch-like protein 1 [Acropora cervicornis],KAK2554218.1,2476,DLK1,DLK1
FUN_018647-T1,FUN_018647,6 Length: 317,uncharacterized protein LOC141886445 [Acropora palmata],XP_074628706.1,317,GPRASP1,GPRASP1
FUN_018648-T1,FUN_018648,7 Length: 297,hypothetical protein P5673_010583 [Acropora cervicornis],KAK2565500.1,849,NA,NA
FUN_018649-T1,FUN_018649,8 Length: 714,Activating transcription factor 7-interacting protein 1 [Acropora cervicornis],KAK2565499.1,1726,ATF7IP,ATF7IP
FUN_018657-T1,FUN_018657,9 Length: 544,Apoptosis inhibitor 5-A [Acropora cervicornis],KAK2565495.1,424,IGHV5-10-1,IGHV5-10-1
FUN_018658-T1,FUN_018658,0 Length: 368,uncharacterized protein LOC114975234 [Acropora millepora],XP_029211185.2,368,GPRASP1,GPRASP1
FUN_018659-T1,FUN_018659,1 Length: 141,40S ribosomal protein S16 [Acropora cervicornis],KAK2565494.1,129,MRPS16,MRPS16
FUN_018661-T1,FUN_018661,2 Length: 156,AP-2 complex subunit alpha-2 [Acropora cervicornis],KAK2565492.1,874,NACA2,NACA2
FUN_018662-T1,FUN_018662,3 Length: 788,AP-2 complex subunit alpha-2 [Acropora cervicornis],KAK2565492.1,874,NACA2,NACA2
FUN_018663-T1,FUN_018663,4 Length: 353,Prostaglandin reductase-3 [Acropora cervicornis],KAK2565642.1,364,PTGR3,PTGR3
FUN_018664-T1,FUN_018664,5 Length: 172,putative 2'-deoxynucleoside 5'-phosphate N-hydrolase 1 [Acropora cervicornis],KAK2565646.1,135,DNPH1,DNPH1
FUN_018665-T1,FUN_018665,6 Length: 958,hypothetical protein P5673_010788 [Acropora cervicornis],KAK2565645.1,977,NA,NA
FUN_018673-T1,FUN_018673,7 Length: 718,Arginine kinase [Acropora cervicornis],KAK2565409.1,606,MAP4K1,MAP4K1
FUN_018674-T1,FUN_018674,8 Length: 115,uncharacterized protein LOC114975627 [Acropora millepora],XP_029211644.1,115,GPRASP1,GPRASP1
FUN_018679-T1,FUN_018679,9 Length: 2645,hypothetical protein P5673_010454 [Acropora cervicornis],KAK2565405.1,2559,NA,NA
FUN_018680-T1,FUN_018680,0 Length: 199,Eukaryotic translation initiation factor 3 subunit I,,NA,EIF3I,EIF3I
FUN_018681-T1,FUN_018681,1 Length: 445,Dynein regulatory complex protein 10 [Acropora cervicornis],KAK2565540.1,382,DRC10,DRC10
FUN_018688-T1,FUN_018688,2 Length: 476,DELTA-alicitoxin-Pse2b-like [Acropora millepora],XP_029200908.2,489,NA,NA
FUN_018689-T1,FUN_018689,3 Length: 138,DELTA-alicitoxin-Pse2b [Acropora cervicornis],KAK2573129.1,130,NA,NA
FUN_018690-T1,FUN_018690,4 Length: 509,DELTA-alicitoxin-Pse2b [Acropora cervicornis],KAK2573128.1,1473,NA,NA
FUN_018695-T1,FUN_018695,5 Length: 487,PREDICTED: DELTA-alicitoxin-Pse2b-like [Acropora digitifera],XP_015769964.1,480,NA,NA
FUN_018699-T1,FUN_018699,6 Length: 297,Cathepsin Z [Acropora cervicornis],KAK2573132.1,252,CTSZ,CTSZ
FUN_018700-T1,FUN_018700,7 Length: 397,PREDICTED: uncharacterized protein LOC107348435 [Acropora digitifera],XP_015769961.1,309,PLGRKT,PLGRKT
FUN_018711-T1,FUN_018711,8 Length: 451,Serine protease HTRA2 [Acropora cervicornis],KAK2572973.1,355,MASP1,MASP1
FUN_018712-T1,FUN_018712,9 Length: 699,FHF complex subunit HOOK interacting protein 2A [Acropora cervicornis],KAK2572972.1,639,FHIP2A,FHIP2A
FUN_018713-T1,FUN_018713,0 Length: 241,Mesocentin [Acropora cervicornis],KAK2572970.1,735,NA,NA
FUN_018715-T1,FUN_018715,1 Length: 102,hypothetical protein P5673_001989 [Acropora cervicornis],KAK2572968.1,66,NA,NA
FUN_018716-T1,FUN_018716,2 Length: 392,arsenite methyltransferase-like [Acropora millepora],XP_029199951.2,392,PRMT8,PRMT8
FUN_018717-T1,FUN_018717,3 Length: 881,PREDICTED: exportin-7-like [Acropora digitifera],XP_015769951.1,1087,PSMA3,PSMA3
FUN_018718-T1,FUN_018718,4 Length: 336,hypothetical protein P5673_002093 [Acropora cervicornis],KAK2573062.1,298,NA,NA
FUN_018720-T1,FUN_018720,5 Length: 647,signal recognition particle subunit SRP72-like isoform X1 [Acropora millepora],XP_029200152.2,662,RN7SL1,RN7SL1
FUN_018725-T1,FUN_018725,6 Length: 496,V-type proton ATPase subunit B [Xenia sp. Carnegie-2017],XP_046850338.1,503,ATP6V0B,ATP6V0B
FUN_018729-T1,FUN_018729,7 Length: 222,Golgi-associated plant pathogenesis-related protein 1 [Acropora cervicornis],KAK2572868.1,222,GLIPR1L1,GLIPR1L1
FUN_018732-T1,FUN_018732,8 Length: 413,"Golgi-associated plant pathogenesis-related protein 1, partial [Acropora cervicornis]",KAK2572871.1,384,GLIPR1L1,GLIPR1L1
FUN_018733-T1,FUN_018733,9 Length: 248,Golgi-associated plant pathogenesis-related protein 1 [Acropora cervicornis],KAK2572868.1,222,GLIPR1L1,GLIPR1L1
FUN_018736-T1,FUN_018736,0 Length: 278,hypothetical protein,,NA,NA,NA
FUN_018737-T1,FUN_018737,1 Length: 278,hypothetical protein,,NA,NA,NA
FUN_018752-T1,FUN_018752,2 Length: 935,Protein PTHB1 [Acropora cervicornis],KAK2551599.1,942,BBS9,BBS9
FUN_018783-T1,FUN_018783,3 Length: 1213,Tetratricopeptide repeat protein 28 [Acropora cervicornis],KAK2547740.1,1709,TTC28,TTC28
FUN_018794-T1,FUN_018794,4 Length: 196,uncharacterized protein [Montipora foliosa],XP_068706546.1,195,GPRASP1,GPRASP1
FUN_018797-T1,FUN_018797,5 Length: 137,DnaJ-like protein subfamily C member 3 [Acropora cervicornis],KAK2566571.1,267,ABCC3,ABCC3
FUN_018800-T1,FUN_018800,6 Length: 330,"hydroxyacyl-coenzyme A dehydrogenase, mitochondrial-like [Acropora millepora]",XP_029198806.2,330,TUFMP1,TUFMP1
FUN_018801-T1,FUN_018801,7 Length: 689,Long-chain-fatty-acid--CoA ligase 1 [Acropora cervicornis],KAK2557945.1,523,SIAH1P1,SIAH1P1
FUN_018803-T1,FUN_018803,8 Length: 688,Long-chain-fatty-acid--CoA ligase 1 [Acropora cervicornis],KAK2557945.1,523,SIAH1P1,SIAH1P1
FUN_018817-T1,FUN_018817,9 Length: 608,Tetratricopeptide repeat protein 28 [Acropora cervicornis],KAK2561415.1,1543,TTC28,TTC28
FUN_018829-T1,FUN_018829,0 Length: 1052,Nardilysin [Acropora cervicornis],KAK2571167.1,840,NRDC,NRDC
FUN_018833-T1,FUN_018833,1 Length: 166,mitochondrial intermembrane space import and assembly protein 40-B-like [Acropora muricata],XP_067023608.1,166,HIKESHI,HIKESHI
FUN_018836-T1,FUN_018836,2 Length: 1021,"Endosome/lysosome-associated apoptosis and autophagy regulator family member 2, partial [Acropora cervicornis]",KAK2571385.1,934,NA,NA
FUN_018843-T1,FUN_018843,3 Length: 276,large ribosomal subunit protein mL46-like isoform X2 [Acropora muricata],XP_067025350.1,276,ATP6V1A2,ATP6V1A2
FUN_018847-T1,FUN_018847,4 Length: 79,hypothetical protein P5673_032553 [Acropora cervicornis],KAK2547471.1,318,NA,NA
FUN_018867-T1,FUN_018867,5 Length: 176,STE20/SPS1-related proline-alanine-rich protein kinase [Acropora cervicornis],KAK2562664.1,85,NA,NA
FUN_018868-T1,FUN_018868,6 Length: 413,Hyaluronidase-1 [Acropora cervicornis],KAK2562663.1,413,HYAL1,HYAL1
FUN_018874-T1,FUN_018874,7 Length: 1711,Progranulin [Acropora cervicornis],KAK2562612.1,1953,NA,NA
FUN_018875-T1,FUN_018875,8 Length: 966,"NACHT, LRR and PYD domains-containing protein 4F-like [Acropora muricata]",XP_067042714.1,1107,PPIAL4F,PPIAL4F
FUN_018892-T1,FUN_018892,39 Length: 188,pituitary tumor-transforming gene 1 protein-interacting protein-like [Acropora millepora],XP_044179220.1,188,PTTG2,PTTG2
FUN_018956-T1,FUN_018956,Length: 781,Neural cell adhesion molecule 1 [Acropora cervicornis],KAK2564731.1,444,NCAM1,NCAM1
FUN_018957-T1,FUN_018957,Length: 839,Hemicentin-2 [Acropora cervicornis],KAK2564791.1,840,HMCN2,HMCN2
FUN_018958-T1,FUN_018958,Length: 603,Opioid-binding protein/cell adhesion molecule [Acropora cervicornis],KAK2564794.1,310,NA,NA
FUN_018963-T1,FUN_018963,Length: 251,hypothetical protein P5673_033058 [Acropora cervicornis],KAK2547155.1,232,NA,NA
FUN_018965-T1,FUN_018965,Length: 432,IgLON family member 5 [Acropora cervicornis],KAK2547301.1,242,IGLON5,IGLON5
FUN_018971-T1,FUN_018971,Length: 777,Transposon Ty3-G Gag-Pol polyprotein [Acropora cervicornis],KAK2557455.1,1782,ERVK-9,ERVK-9
FUN_018976-T1,FUN_018976,Length: 504,Transposon Ty3-G Gag-Pol polyprotein [Acropora cervicornis],KAK2557455.1,1782,ERVK-9,ERVK-9
FUN_018983-T1,FUN_018983,Length: 113,Endonuclease domain-containing 1 protein [Acropora cervicornis],KAK2547150.1,596,TMX1,TMX1
FUN_018984-T1,FUN_018984,Length: 170,Endonuclease domain-containing 1 protein [Acropora cervicornis],KAK2547150.1,596,TMX1,TMX1
FUN_019003-T1,FUN_019003,Length: 100,hypothetical protein P5673_027416 [Acropora cervicornis],KAK2551641.1,1088,NA,NA
FUN_019030-T1,FUN_019030,Length: 229,Tetraspanin-9 [Acropora cervicornis],KAK2569675.1,251,TSPAN9,TSPAN9
FUN_019031-T1,FUN_019031,Length: 1022,Dihydropyrimidine dehydrogenase [NADP(+)] [Acropora cervicornis],KAK2569851.1,1129,H6PD,H6PD
FUN_019032-T1,FUN_019032,Length: 380,CUB and peptidase domain-containing protein 1 [Acropora cervicornis],KAK2569857.1,558,PAMR1,PAMR1
FUN_019032-T2,FUN_019032,Length:685,CUB and peptidase domain-containing protein 1 [Acropora cervicornis],KAK2569857.1,558,PAMR1,PAMR1
FUN_019032-T3,FUN_019032,Length:685,CUB and peptidase domain-containing protein 1 [Acropora cervicornis],KAK2569857.1,558,PAMR1,PAMR1
FUN_019037-T1,FUN_019037,Length: 102,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 [Acropora cervicornis],KAK2569528.1,75,PDHA1,PDHA1
FUN_019039-T1,FUN_019039,Length: 373,Single-stranded DNA-binding protein 3 [Acropora cervicornis],KAK2569771.1,316,SSBP3,SSBP3
FUN_019043-T1,FUN_019043,Length: 172,hypothetical protein P5673_005526 [Acropora cervicornis],KAK2569691.1,121,NA,NA
FUN_019053-T1,FUN_019053,Length: 423,PREDICTED: AP-1 complex subunit mu-1-like [Acropora digitifera],XP_015749665.1,353,FOSL1,FOSL1
FUN_019055-T1,FUN_019055,Length: 1925,Terminal uridylyltransferase 4 [Acropora cervicornis],KAK2569785.1,1704,GALT,GALT
FUN_019061-T1,FUN_019061,Length: 283,hypothetical protein P5673_005577 [Acropora cervicornis],KAK2569739.1,302,NA,NA
FUN_019064-T1,FUN_019064,Length: 807,Tetratricopeptide repeat protein 28 [Acropora cervicornis],KAK2565142.1,668,TTC28,TTC28
FUN_019065-T1,FUN_019065,Length: 205,ras-related protein Rab-8A-like [Acropora millepora],XP_029189108.1,205,GPRASP1,GPRASP1
FUN_019066-T1,FUN_019066,Length: 205,GTP-binding protein ypt2 [Acropora cervicornis],KAK2565141.1,155,GEM,GEM
FUN_019068-T1,FUN_019068,Length: 424,testis-expressed protein 9-like [Acropora millepora],XP_029189133.2,424,MTMR9LP,MTMR9LP
FUN_019069-T1,FUN_019069,Length: 223,uncharacterized protein LOC141893808 [Acropora palmata],XP_074635330.1,153,GPRASP1,GPRASP1
FUN_019070-T2,FUN_019070,Length:670,Transient receptor potential cation channel subfamily V member 6 [Acropora cervicornis],KAK2565253.1,366,TRPV6,TRPV6
FUN_019071-T1,FUN_019071,Length: 421,Ferrochelatase [Acropora cervicornis],KAK2565259.1,482,FECH,FECH
FUN_019073-T1,FUN_019073,Length: 860,hypothetical protein P5673_011208 [Acropora cervicornis],KAK2565257.1,860,NA,NA
FUN_019074-T1,FUN_019074,Length: 425,Proline-serine-threonine phosphatase-interacting protein 1 [Acropora cervicornis],KAK2565384.1,475,PSTPIP1,PSTPIP1
FUN_019081-T1,FUN_019081,Length: 321,60S ribosomal protein L4-A-like [Acropora millepora],XP_029189128.1,362,RPS19BP1,RPS19BP1
FUN_019084-T1,FUN_019084,Length: 224,hypothetical protein P5673_011095 [Acropora cervicornis],KAK2565168.1,168,NA,NA
FUN_019085-T1,FUN_019085,Length: 472,methanethiol oxidase [Acropora millepora],XP_029189081.2,472,HAOL,HAOL
FUN_019090-T1,FUN_019090,Length: 167,protein mago nashi homolog [Acropora palmata],XP_074614302.1,167,MAGOH3P,MAGOH3P
FUN_019091-T1,FUN_019091,Length: 453,hypothetical protein P5673_011249 [Acropora cervicornis],KAK2565291.1,416,NA,NA
FUN_019092-T1,FUN_019092,Length: 570,PREDICTED: chondroitin sulfate N-acetylgalactosaminyltransferase 1-like [Acropora digitifera],XP_015759753.1,570,CSGALNACT1,CSGALNACT1
FUN_019093-T1,FUN_019093,Length: 377,Tight junction protein ZO-1 [Acropora cervicornis],KAK2565289.1,2011,TJP1,TJP1
FUN_019094-T1,FUN_019094,Length: 1554,Tight junction protein ZO-1 [Acropora cervicornis],KAK2565289.1,2011,TJP1,TJP1
FUN_019095-T1,FUN_019095,Length: 274,Tight junction protein ZO-1 [Acropora cervicornis],KAK2565289.1,2011,TJP1,TJP1
FUN_019096-T1,FUN_019096,Length: 1413,Neogenin [Acropora cervicornis],KAK2565294.1,1482,NEO1,NEO1
FUN_019097-T1,FUN_019097,Length: 420,Lysophosphatidic acid phosphatase type 6 [Acropora cervicornis],KAK2565292.1,396,ACP6,ACP6
FUN_019101-T1,FUN_019101,Length: 268,hypothetical protein P5673_010987 [Acropora cervicornis],KAK2565078.1,268,NA,NA
FUN_019127-T1,FUN_019127,Length: 748,Vesicle-fusing ATPase 1 [Acropora cervicornis],KAK2548677.1,726,PSMC1P1,PSMC1P1
FUN_019131-T1,FUN_019131,Length: 1063,Tetratricopeptide repeat protein 28 [Acropora cervicornis],KAK2547740.1,1709,TTC28,TTC28
FUN_019133-T1,FUN_019133,Length: 838,tetratricopeptide repeat protein 28-like isoform X1 [Acropora muricata],XP_067046621.1,1142,ATP6V1A2,ATP6V1A2
FUN_019169-T1,FUN_019169,Length: 282,NLR family CARD domain-containing protein 3 [Acropora cervicornis],KAK2553440.1,541,NLRC3,NLRC3
FUN_019173-T1,FUN_019173,Length: 1079,PREDICTED: LOW QUALITY PROTEIN: adenylate cyclase type 5-like [Acropora digitifera],XP_015778856.1,1120,ADCY1,ADCY1
FUN_019175-T1,FUN_019175,Length: 152,"Universal stress protein, partial [Acropora cervicornis]",KAK2562694.1,130,HAPSTR1,HAPSTR1
FUN_019177-T1,FUN_019177,Length: 179,hypothetical protein P5673_014260 [Acropora cervicornis],KAK2562578.1,112,NA,NA
FUN_019181-T1,FUN_019181,Length: 146,universal stress protein Slr1101-like [Acropora palmata],XP_074622869.1,146,HAPSTR1,HAPSTR1
FUN_019188-T1,FUN_019188,Length: 737,"Hemicentin-1, partial [Acropora cervicornis]",KAK2566574.1,680,LGI1,LGI1
FUN_019192-T1,FUN_019192,Length: 1976,Hemicentin-1 [Acropora cervicornis],KAK2566579.1,1408,HMCN1,HMCN1
FUN_019193-T1,FUN_019193,Length: 803,fibroblast growth factor receptor 3-like [Acropora muricata],XP_067030323.1,780,TGFBR3L,TGFBR3L
FUN_019195-T1,FUN_019195,Length: 1578,Hemicentin-2 [Acropora cervicornis],KAK2566806.1,1395,HMCN2,HMCN2
FUN_019201-T1,FUN_019201,Length: 351,"39S ribosomal protein L37, mitochondrial-like [Acropora millepora]",XP_044169082.1,351,TUFMP1,TUFMP1
FUN_019202-T1,FUN_019202,Length: 555,cilia- and flagella-associated protein 45-like [Acropora millepora],XP_029201842.1,555,HOATZ,HOATZ
FUN_019207-T1,FUN_019207,Length: 1478,Hemicentin-1 [Acropora cervicornis],KAK2566723.1,1436,HMCN1,HMCN1
FUN_019217-T1,FUN_019217,Length: 305,Inactive selenide [Acropora cervicornis],KAK2571095.1,340,SEPHS1,SEPHS1
FUN_019220-T1,FUN_019220,Length: 517,hypothetical protein P5673_003649 [Acropora cervicornis],KAK2571091.1,375,NA,NA
FUN_019229-T1,FUN_019229,Length: 1211,serine/threonine-protein kinase WNK-like [Acropora muricata],XP_067023674.1,1636,NA,NA
FUN_019229-T2,FUN_019229,Length:1636,serine/threonine-protein kinase WNK-like [Acropora muricata],XP_067023674.1,1636,NA,NA
FUN_019245-T1,FUN_019245,Length: 766,macrophage-expressed gene 1 protein-like [Acropora millepora],XP_044169658.1,766,MLPL1,MLPL1
FUN_019300-T1,FUN_019300,Length: 639,BEN domain-containing protein 4 [Acropora cervicornis],KAK2562623.1,676,LCP2,LCP2
FUN_019308-T1,FUN_019308,Length: 570,tripeptidyl-peptidase 1-like [Acropora millepora],XP_029204919.2,570,SSAV1L,SSAV1L
FUN_019310-T1,FUN_019310,Length: 260,40S ribosomal protein S3a [Acropora millepora],XP_029204927.1,260,RPS3A,RPS3A
FUN_019311-T1,FUN_019311,Length: 524,PREDICTED: N-acetylglucosamine-6-sulfatase-like [Acropora digitifera],XP_015778339.1,508,PSMA1,PSMA1
FUN_019315-T1,FUN_019315,Length: 664,PREDICTED: uncharacterized protein LOC107356225 [Acropora digitifera],XP_015778348.1,664,PLGRKT,PLGRKT
FUN_019322-T1,FUN_019322,Length: 250,High mobility group-T protein [Acropora cervicornis],KAK2563461.1,220,MAL,MAL
FUN_019325-T1,FUN_019325,Length:563,CSC1-like protein ERD4 [Acropora cervicornis],KAK2563346.1,747,GPRASP1,GPRASP1
FUN_019328-T1,FUN_019328,Length:1218,OTU domain-containing protein 4 [Acropora cervicornis],KAK2563339.1,1117,LCP2,LCP2
FUN_019331-T1,FUN_019331,Length:131,PREDICTED: EF-hand calcium-binding domain-containing protein 10-like [Acropora digitifera],XP_015776437.1,131,NECAB1,NECAB1
FUN_019333-T1,FUN_019333,Length:1248,hypothetical protein P5673_013294 [Acropora cervicornis],KAK2563567.1,2559,NA,NA
FUN_019334-T1,FUN_019334,Length:1296,hypothetical protein P5673_013294 [Acropora cervicornis],KAK2563567.1,2559,NA,NA
FUN_019339-T1,FUN_019339,Length:718,"arginine--tRNA ligase, cytoplasmic-like [Acropora millepora]",XP_044177407.1,718,FACL1,FACL1
FUN_019378-T1,FUN_019378,Length:242,hypothetical protein P5673_018027 [Acropora cervicornis],KAK2559404.1,64,NA,NA
FUN_019389-T1,FUN_019389,Length:494,ALK tyrosine kinase receptor-like [Acropora millepora],XP_029202799.2,376,ADORA2L1,ADORA2L1
FUN_019391-T1,FUN_019391,Length:386,PREDICTED: protein TSSC1-like [Acropora digitifera],XP_015747131.1,372,GPRASP1,GPRASP1
FUN_019392-T1,FUN_019392,Length:675,Nucleolar GTP-binding protein 2 [Acropora cervicornis],KAK2562308.1,575,GTPBP2,GTPBP2
FUN_019395-T1,FUN_019395,Length:279,valacyclovir hydrolase-like [Acropora millepora],XP_044182382.1,279,BPHL,BPHL
FUN_019396-T1,FUN_019396,Length:347,"CYFIP-related Rac1 interactor B, partial [Acropora cervicornis]",KAK2562306.1,207,CYRIB,CYRIB
FUN_019399-T1,FUN_019399,Length:747,NA,,NA,ATP1A1,ATP1A1
FUN_019402-T1,FUN_019402,Length:578,Dorsal-ventral patterning tolloid-like protein 1 [Acropora cervicornis],KAK2562309.1,235,NETO1,NETO1
FUN_019404-T1,FUN_019404,Length:204,merlin-like [Acropora millepora],XP_029185427.2,567,NF2,NF2
FUN_019405-T1,FUN_019405,Length:401,merlin-like [Acropora millepora],XP_029185427.2,567,NF2,NF2
FUN_019407-T1,FUN_019407,Length:335,mitochondrial ubiquitin ligase activator of NFKB 1-like [Acropora muricata],XP_067032792.1,335,TANK,TANK
FUN_019413-T1,FUN_019413,Length:453,Tubulin alpha-1 chain [Acropora cervicornis],KAK2564934.1,513,COL1A1,COL1A1
FUN_019415-T1,FUN_019415,Length:296,PREDICTED: failed axon connections homolog [Acropora digitifera],XP_015768702.1,296,FAXC,FAXC
FUN_019417-T1,FUN_019417,Length:357,NA,,NA,ATP1A1,ATP1A1
FUN_019419-T1,FUN_019419,Length:307,NA,,NA,ATP1A1,ATP1A1
FUN_019439-T1,FUN_019439,Length:455,Endoplasmic reticulum lectin 1 [Acropora cervicornis],KAK2547712.1,443,ERLEC1P1,ERLEC1P1
FUN_019440-T1,FUN_019440,Length:175,Importin subunit beta-1 [Acropora cervicornis],KAK2547713.1,710,GUCY1B1,GUCY1B1
FUN_019441-T1,FUN_019441,Length:784,Importin subunit beta-1 [Acropora cervicornis],KAK2547713.1,710,GUCY1B1,GUCY1B1
FUN_019444-T1,FUN_019444,Length:340,Pyridoxal reductase [Acropora cervicornis],KAK2547715.1,384,ALDRL2,ALDRL2
FUN_019445-T1,FUN_019445,Length:466,Pejvakin [Acropora cervicornis],KAK2547716.1,555,PJVK,PJVK
FUN_019446-T1,FUN_019446,Length:561,EF-hand domain-containing family member B [Acropora cervicornis],KAK2547717.1,469,GIPC1,GIPC1
FUN_019477-T1,FUN_019477,Length:1060,"Ubiquitin-like modifier-activating enzyme 1, partial [Acropora cervicornis]",KAK2548604.1,999,UBA1,UBA1
FUN_019480-T1,FUN_019480,Length:316,RIB43A-like with coiled-coils protein 2 [Montipora capricornis],XP_068718114.1,379,RIBC2,RIBC2
FUN_019481-T1,FUN_019481,Length:115,RIB43A-like with coiled-coils protein 2 [Montipora capricornis],XP_068718114.1,379,RIBC2,RIBC2
FUN_019482-T1,FUN_019482,Length:958,hypothetical protein P5673_031129 [Acropora cervicornis],KAK2548606.1,882,NA,NA
FUN_019487-T1,FUN_019487,Length:112,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 [Acropora cervicornis],KAK2548630.1,118,PDHA2,PDHA2
FUN_019491-T1,FUN_019491,Length:1197,"phosphorylase b kinase regulatory subunit alpha, liver isoform-like isoform X1 [Montipora foliosa]",XP_068703422.1,1201,IKBKG,IKBKG
FUN_019496-T1,FUN_019496,Length:194,PREDICTED: ankyrin repeat domain-containing protein 54-like [Acropora digitifera],XP_015771122.1,142,HACE1,HACE1
FUN_019498-T1,FUN_019498,Length:1037,LOW QUALITY PROTEIN: allene oxide synthase-lipoxygenase protein-like [Acropora millepora],XP_029204735.2,1071,MLPL1,MLPL1
FUN_019499-T1,FUN_019499,Length:377,Protein phosphatase methylesterase 1 [Acropora cervicornis],KAK2548623.1,351,PPME1,PPME1
FUN_019507-T1,FUN_019507,Length:722,N-alpha-acetyltransferase 15 [Acropora cervicornis],KAK2548638.1,541,NATP,NATP
FUN_019520-T1,FUN_019520,Length:508,PREDICTED: cholesterol 24-hydroxylase-like isoform X1 [Acropora digitifera],XP_015767900.1,510,ATP6V1A2,ATP6V1A2
FUN_019522-T1,FUN_019522,Length:511,Cholesterol 24-hydroxylase [Acropora cervicornis],KAK2561703.1,1017,CYP24A1,CYP24A1
FUN_019523-T1,FUN_019523,Length:627,sensory neuron membrane protein 2-like isoform X1 [Acropora muricata],XP_067031057.1,641,MPV17L2,MPV17L2
FUN_019524-T1,FUN_019524,Length:387,uncharacterized skeletal organic matrix protein 5-like [Acropora muricata],XP_067031116.1,387,GEM,GEM
FUN_019534-T1,FUN_019534,Length:865,uncharacterized protein LOC141890481 isoform X1 [Acropora palmata],XP_074632064.1,865,ATP6V1A2,ATP6V1A2
FUN_019537-T1,FUN_019537,Length:343,protein NDRG3-like [Acropora muricata],XP_067031650.1,344,GPRASP1,GPRASP1
FUN_019539-T1,FUN_019539,Length:4367,Baculoviral IAP repeat-containing protein 6 [Acropora cervicornis],KAK2561942.1,2098,BIRC6,BIRC6
FUN_019544-T1,FUN_019544,Length:326,PREDICTED: ribokinase-like [Acropora digitifera],XP_015767876.1,315,NA,NA
FUN_019545-T1,FUN_019545,Length:448,Actin-related protein 10 [Acropora cervicornis],KAK2561837.1,408,KRTAP10-10,KRTAP10-10
FUN_019552-T1,FUN_019552,Length:952,Tetratricopeptide repeat protein 28 [Acropora cervicornis],KAK2548652.1,952,TTC28,TTC28
